Channel ID,Channel URL,Channel title
UCWzUCbM6NOr_wnWAkFylj2w,http://www.youtube.com/channel/UCWzUCbM6NOr_wnWAkFylj2w,flojdtube
UCY38RvRIxYODO4penyxUwTg,http://www.youtube.com/channel/UCY38RvRIxYODO4penyxUwTg,Dave Gray
UCYO_jab_esuFRV4b17AJtAw,http://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown
UCYeiozh-4QwuC1sjgCmB92w,http://www.youtube.com/channel/UCYeiozh-4QwuC1sjgCmB92w,DevOps Toolbox
UC_E4px0RST-qFwXLJWBav8Q,http://www.youtube.com/channel/UC_E4px0RST-qFwXLJWBav8Q,Business Casual
UC_SvYP0k05UKiJ_2ndB02IA,http://www.youtube.com/channel/UC_SvYP0k05UKiJ_2ndB02IA,blackpenredpen
UC_mYaQAE6-71rjSN6CeCA-g,http://www.youtube.com/channel/UC_mYaQAE6-71rjSN6CeCA-g,NeetCode
UCaapDTDkpym2hPt0h8P7LuA,http://www.youtube.com/channel/UCaapDTDkpym2hPt0h8P7LuA,Miles | Expired Film Club
UCbsfyGlrjrKQC0gbzK0-EiA,http://www.youtube.com/channel/UCbsfyGlrjrKQC0gbzK0-EiA,Jared Owen
UCc605luB7EcVs6X9ZvTXwKw,http://www.youtube.com/channel/UCc605luB7EcVs6X9ZvTXwKw,Math with Ming
UCe4aEYu9h6LxCbBYgMQgZsg,http://www.youtube.com/channel/UCe4aEYu9h6LxCbBYgMQgZsg,The Wet Pen
UCfUpjvXL64juGG48Dzsk3cQ,http://www.youtube.com/channel/UCfUpjvXL64juGG48Dzsk3cQ,MrGee Math
UCgBmfNILAlXmGv3CsJ8oFJA,http://www.youtube.com/channel/UCgBmfNILAlXmGv3CsJ8oFJA,Physics Galaxy
UChhJ-DMIa7g1SAWuixHNw0Q,http://www.youtube.com/channel/UChhJ-DMIa7g1SAWuixHNw0Q,Saul4Democracy
UCjbXMiJWf1d_Y7_Mn_zPUVw,http://www.youtube.com/channel/UCjbXMiJWf1d_Y7_Mn_zPUVw,Cinema Visuals
UCjpQ-KGPKbTbsM_3HBojpNQ,http://www.youtube.com/channel/UCjpQ-KGPKbTbsM_3HBojpNQ,MobyDick00001
UCkCGANrihzExmu9QiqZpPlQ,http://www.youtube.com/channel/UCkCGANrihzExmu9QiqZpPlQ,How Money Works
UCkzaJDHBKbcaNatH_T00ieg,http://www.youtube.com/channel/UCkzaJDHBKbcaNatH_T00ieg,High Boi
UClZbmi9JzfnB2CEb0fG8iew,http://www.youtube.com/channel/UClZbmi9JzfnB2CEb0fG8iew,Primal Space
UClawlR7M7ojlCY12z3fYiug,http://www.youtube.com/channel/UClawlR7M7ojlCY12z3fYiug,Trading Window
UClcE-kVhqyiHCcjYwcpfj9w,http://www.youtube.com/channel/UClcE-kVhqyiHCcjYwcpfj9w,LiveOverflow
UCo71RUe6DX4w-Vd47rFLXPg,http://www.youtube.com/channel/UCo71RUe6DX4w-Vd47rFLXPg,typecraft
UConVfxXodg78Tzh5nNu85Ew,http://www.youtube.com/channel/UConVfxXodg78Tzh5nNu85Ew,Welch Labs
UCotwjyJnb-4KW7bmsOoLfkg,http://www.youtube.com/channel/UCotwjyJnb-4KW7bmsOoLfkg,Art of the Problem
UCoxcjq-8xIDTYp3uz647V5A,http://www.youtube.com/channel/UCoxcjq-8xIDTYp3uz647V5A,Numberphile
UCpdOQS9T0rz4ytlmdwphHIg,http://www.youtube.com/channel/UCpdOQS9T0rz4ytlmdwphHIg,Jack Ferg
UCqoAEDirJPjEUFcF2FklnBA,http://www.youtube.com/channel/UCqoAEDirJPjEUFcF2FklnBA,StarTalk
UCrqM0Ym_NbK1fqeQG2VIohg,http://www.youtube.com/channel/UCrqM0Ym_NbK1fqeQG2VIohg,Tsoding Daily
UCsBjURrPoezykLs9EqgamOA,http://www.youtube.com/channel/UCsBjURrPoezykLs9EqgamOA,Fireship
UCtM9yRT6HyFM7WFznhJYMdQ,http://www.youtube.com/channel/UCtM9yRT6HyFM7WFznhJYMdQ,Gruhak
UCuKdJtcsVGw3Cz-Sfsgl-9w,http://www.youtube.com/channel/UCuKdJtcsVGw3Cz-Sfsgl-9w,Code With Vick
UCuU9jE4MHHEIyYMbDfUPSew,http://www.youtube.com/channel/UCuU9jE4MHHEIyYMbDfUPSew,Caleb Writes Code
UCwd5VFu4KoJNjkWJZMFJGHQ,http://www.youtube.com/channel/UCwd5VFu4KoJNjkWJZMFJGHQ,Jacob Sorber
UCxQKHvKbmSzGMvUrVtJYnUA,http://www.youtube.com/channel/UCxQKHvKbmSzGMvUrVtJYnUA,Learn Linux TV
UCxS_Qie7LYWwTuA8wOB2XEw,http://www.youtube.com/channel/UCxS_Qie7LYWwTuA8wOB2XEw,Short Reads
UCxqAWLTk1CmBvZFPzeZMd9A,http://www.youtube.com/channel/UCxqAWLTk1CmBvZFPzeZMd9A,Domain of Science
UCxr2d4As312LulcajAkKJYw,http://www.youtube.com/channel/UCxr2d4As312LulcajAkKJYw,Townsends
UCyOfqgtsQaM3S-VZnsYnHjQ,http://www.youtube.com/channel/UCyOfqgtsQaM3S-VZnsYnHjQ,HALIDONMUSIC
UCz-yrxeZYIYdpEZgHGvIydA,http://www.youtube.com/channel/UCz-yrxeZYIYdpEZgHGvIydA,Nic Barker
UCzCsyvyrq38R6TnztEzOmgg,http://www.youtube.com/channel/UCzCsyvyrq38R6TnztEzOmgg,ByteMonk





